Category,Key,Program(s),Price
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFORTX-WMREFURBISHED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesGREIN-WMREFURBISHED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesBENAR-WMUSED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFRAKY-WMUSED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFORTX-WMUSED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesGREIN-WMUSED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesBENAR-WMBER",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFRAKY-WMBER",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFORTX-WMBER",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesGREIN-WMBER",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesFORTX-WMNEW",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses","Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & BlousesGREIN-WMNEW",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearBENAR-WMREFURBISHED",BENAR-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFRAKY-WMREFURBISHED",FRAKY-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFORTX-WMREFURBISHED",FORTX-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearGREIN-WMREFURBISHED",GREIN-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearBENAR-WMUSED",BENAR-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFRAKY-WMUSED",FRAKY-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFORTX-WMUSED",FORTX-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearGREIN-WMUSED",GREIN-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearBENAR-WMBER",BENAR-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFRAKY-WMBER",FRAKY-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFORTX-WMBER",FORTX-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearGREIN-WMBER",GREIN-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearFORTX-WMNEW",FORTX-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear","Clothing, Shoes & Accessories -> Clothing -> Womens -> SwimwearGREIN-WMNEW",GREIN-WM,10%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFORTX-WMREFURBISHED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansGREIN-WMREFURBISHED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansBENAR-WMUSED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFRAKY-WMUSED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFORTX-WMUSED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansGREIN-WMUSED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansBENAR-WMBER",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFRAKY-WMBER",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFORTX-WMBER",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansGREIN-WMBER",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansFORTX-WMNEW",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans","Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & CardigansGREIN-WMNEW",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFORTX-WMREFURBISHED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksGREIN-WMREFURBISHED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksBENAR-WMUSED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFRAKY-WMUSED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFORTX-WMUSED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksGREIN-WMUSED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksBENAR-WMBER",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFRAKY-WMBER",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFORTX-WMBER",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksGREIN-WMBER",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksFORTX-WMNEW",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & Socks","Clothing, Shoes & Accessories -> Clothing -> Womens -> Underwear, Intimates, Sleepwear & SocksGREIN-WMNEW",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFORTX-WMREFURBISHED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesGREIN-WMREFURBISHED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesBENAR-WMUSED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFRAKY-WMUSED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFORTX-WMUSED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesGREIN-WMUSED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesBENAR-WMBER",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFRAKY-WMBER",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFORTX-WMBER",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesGREIN-WMBER",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesFORTX-WMNEW",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Babies","Clothing, Shoes & Accessories -> Shoes -> BabiesGREIN-WMNEW",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFORTX-WMREFURBISHED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysGREIN-WMREFURBISHED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysBENAR-WMUSED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFRAKY-WMUSED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFORTX-WMUSED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysGREIN-WMUSED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysBENAR-WMBER",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFRAKY-WMBER",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFORTX-WMBER",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysGREIN-WMBER",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysFORTX-WMNEW",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Boys","Clothing, Shoes & Accessories -> Shoes -> BoysGREIN-WMNEW",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFORTX-WMREFURBISHED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsGREIN-WMREFURBISHED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsBENAR-WMUSED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFRAKY-WMUSED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFORTX-WMUSED",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsGREIN-WMUSED",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsBENAR-WMBER",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFRAKY-WMBER",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFORTX-WMBER",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsGREIN-WMBER",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsFORTX-WMNEW",FORTX-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Girls","Clothing, Shoes & Accessories -> Shoes -> GirlsGREIN-WMNEW",GREIN-WM,1%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensBENAR-WMREFURBISHED",BENAR-WM,10%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensFRAKY-WMREFURBISHED",FRAKY-WM,10%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensFORTX-WMREFURBISHED",FORTX-WM,10%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensGREIN-WMREFURBISHED",GREIN-WM,10%
"Clothing, Shoes & Accessories -> Shoes -> Mens","Clothing, Shoes & Accessories -> Shoes -> MensBENAR-WMUSED",BENAR-WM,10%
